trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-131.03423811557414,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",30,0,-147.1779191702233,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,0,-121.50555173794957,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",25,0,-68.75471970431437,"{0: 14, 1: 6, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",35,0,-150.16564545478735,"{0: 22, 1: 3, 2: 6, 3: 3, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",30,4,-111.72645156934381,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 1}",1
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,0,-107.48797999149483,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",35,0,-259.22834195102286,"{0: 18, 1: 3, 2: 8, 3: 3, 4: 3}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-108.6769537155267,"{0: 9, 1: 1, 2: 8, 3: 2, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",25,0,-141.49338432954232,"{0: 12, 1: 2, 2: 7, 3: 4, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",30,0,-157.71768646421413,"{0: 21, 1: 0, 2: 5, 3: 1, 4: 3}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-28.563405779315882,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-40.57010643478016,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",35,0,-193.0876543815832,"{0: 23, 1: 2, 2: 4, 3: 4, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",30,0,-171.84799926426723,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,0,-63.68735693569628,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-61.155720192943896,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,0,-163.59497567873774,"{0: 9, 1: 5, 2: 3, 3: 0, 4: 3}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",30,0,-190.5201033684828,"{0: 15, 1: 6, 2: 6, 3: 0, 4: 3}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,0,-45.765876581405685,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",30,0,-232.8951660753144,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 5}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",20,0,-136.97213851789206,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",20,0,-242.77481319272638,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 5}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520296}",25,0,-57.851451798014864,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,0,-134.24277182980023,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-118.97834043067512,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,0,-57.77349267708734,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
