trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.11811875858382,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-42.05227924829635,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-157.83185664241296,"{0: 14, 1: 6, 2: 8, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-178.76190761129607,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-171.5709142140095,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,12,-26.190245550970655,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-54.214803514506784,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-234.1799787234067,"{0: 13, 1: 2, 2: 3, 3: 4, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.01866148459221,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.02053280232485,"{0: 12, 1: 4, 2: 1, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-169.18551388374658,"{0: 16, 1: 3, 2: 7, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-104.32733526606258,"{0: 21, 1: 6, 2: 0, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-166.3658227637649,"{0: 10, 1: 9, 2: 9, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.28472527542093,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.96497709727623,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.3311599918806,"{0: 10, 1: 2, 2: 5, 3: 3, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-246.84496580459302,"{0: 8, 1: 8, 2: 5, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.44177525115064,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-42.21979643780765,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-142.90659597362074,"{0: 18, 1: 3, 2: 5, 3: 3, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-86.0993984129329,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,1,-42.04105305420435,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 0}",1
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-190.0328716396322,"{0: 10, 1: 2, 2: 9, 3: 3, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-263.80349600783995,"{0: 15, 1: 1, 2: 9, 3: 1, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-194.5128913489138,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-117.09934221022576,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-63.676464141290566,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-102.61775683141231,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-78.8158567679588,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-83.26519138196157,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 0}",0
